problem,instance,number of objectives,chromosome size,solver,seed,metric name,metric value
MOTSP,kroAB100,2,100,NSGA-II,305089489,Hypervolume Ratio,0.936367
MOTSP,kroAB100,2,100,NSGA-II,511812191,Hypervolume Ratio,0.960141
MOTSP,kroAB100,2,100,NSGA-II,608055156,Hypervolume Ratio,0.948985
MOTSP,kroAB100,2,100,NSGA-II,467424509,Hypervolume Ratio,0.947284
MOTSP,kroAB100,2,100,NSGA-II,944441939,Hypervolume Ratio,0.942299
MOTSP,kroAB100,2,100,NSGA-II,414977408,Hypervolume Ratio,0.953031
MOTSP,kroAB100,2,100,NSGA-II,819312498,Hypervolume Ratio,0.929842
MOTSP,kroAB100,2,100,NSGA-II,562386085,Hypervolume Ratio,0.957421
MOTSP,kroAB100,2,100,NSGA-II,287613914,Hypervolume Ratio,0.955728
MOTSP,kroAB100,2,100,NSGA-II,755772793,Hypervolume Ratio,0.961215
MOTSP,kroAB100,2,100,NSPSO,305089489,Hypervolume Ratio,0.935581
MOTSP,kroAB100,2,100,NSPSO,511812191,Hypervolume Ratio,0.937698
MOTSP,kroAB100,2,100,NSPSO,608055156,Hypervolume Ratio,0.96036
MOTSP,kroAB100,2,100,NSPSO,467424509,Hypervolume Ratio,0.88683
MOTSP,kroAB100,2,100,NSPSO,944441939,Hypervolume Ratio,0.925211
MOTSP,kroAB100,2,100,NSPSO,414977408,Hypervolume Ratio,0.921236
MOTSP,kroAB100,2,100,NSPSO,819312498,Hypervolume Ratio,0.956535
MOTSP,kroAB100,2,100,NSPSO,562386085,Hypervolume Ratio,0.883508
MOTSP,kroAB100,2,100,NSPSO,287613914,Hypervolume Ratio,0.942615
MOTSP,kroAB100,2,100,NSPSO,755772793,Hypervolume Ratio,0.94132
MOTSP,kroAB100,2,100,MOEA/D-DE,305089489,Hypervolume Ratio,0.934347
MOTSP,kroAB100,2,100,MOEA/D-DE,511812191,Hypervolume Ratio,0.957818
MOTSP,kroAB100,2,100,MOEA/D-DE,608055156,Hypervolume Ratio,0.950755
MOTSP,kroAB100,2,100,MOEA/D-DE,467424509,Hypervolume Ratio,0.931548
MOTSP,kroAB100,2,100,MOEA/D-DE,944441939,Hypervolume Ratio,0.923857
MOTSP,kroAB100,2,100,MOEA/D-DE,414977408,Hypervolume Ratio,0.94058
MOTSP,kroAB100,2,100,MOEA/D-DE,819312498,Hypervolume Ratio,0.931522
MOTSP,kroAB100,2,100,MOEA/D-DE,562386085,Hypervolume Ratio,0.946773
MOTSP,kroAB100,2,100,MOEA/D-DE,287613914,Hypervolume Ratio,0.946839
MOTSP,kroAB100,2,100,MOEA/D-DE,755772793,Hypervolume Ratio,0.915063
MOTSP,kroAB100,2,100,MHACO,305089489,Hypervolume Ratio,0.715166
MOTSP,kroAB100,2,100,MHACO,511812191,Hypervolume Ratio,0.645348
MOTSP,kroAB100,2,100,MHACO,608055156,Hypervolume Ratio,0.66027
MOTSP,kroAB100,2,100,MHACO,467424509,Hypervolume Ratio,0.623904
MOTSP,kroAB100,2,100,MHACO,944441939,Hypervolume Ratio,0.619736
MOTSP,kroAB100,2,100,MHACO,414977408,Hypervolume Ratio,0.649466
MOTSP,kroAB100,2,100,MHACO,819312498,Hypervolume Ratio,0.619119
MOTSP,kroAB100,2,100,MHACO,562386085,Hypervolume Ratio,0.641584
MOTSP,kroAB100,2,100,MHACO,287613914,Hypervolume Ratio,0.657725
MOTSP,kroAB100,2,100,MHACO,755772793,Hypervolume Ratio,0.627174
MOTSP,kroAB100,2,100,IHS,305089489,Hypervolume Ratio,0.741311
MOTSP,kroAB100,2,100,IHS,511812191,Hypervolume Ratio,0.714718
MOTSP,kroAB100,2,100,IHS,608055156,Hypervolume Ratio,0.74732
MOTSP,kroAB100,2,100,IHS,467424509,Hypervolume Ratio,0.760242
MOTSP,kroAB100,2,100,IHS,944441939,Hypervolume Ratio,0.734779
MOTSP,kroAB100,2,100,IHS,414977408,Hypervolume Ratio,0.734757
MOTSP,kroAB100,2,100,IHS,819312498,Hypervolume Ratio,0.745465
MOTSP,kroAB100,2,100,IHS,562386085,Hypervolume Ratio,0.723156
MOTSP,kroAB100,2,100,IHS,287613914,Hypervolume Ratio,0.757798
MOTSP,kroAB100,2,100,IHS,755772793,Hypervolume Ratio,0.723196
MOTSP,kroAB100,2,100,NS-BRKGA,305089489,Hypervolume Ratio,0.877533
MOTSP,kroAB100,2,100,NS-BRKGA,511812191,Hypervolume Ratio,0.879303
MOTSP,kroAB100,2,100,NS-BRKGA,608055156,Hypervolume Ratio,0.880071
MOTSP,kroAB100,2,100,NS-BRKGA,467424509,Hypervolume Ratio,0.886223
MOTSP,kroAB100,2,100,NS-BRKGA,944441939,Hypervolume Ratio,0.887391
MOTSP,kroAB100,2,100,NS-BRKGA,414977408,Hypervolume Ratio,0.900691
MOTSP,kroAB100,2,100,NS-BRKGA,819312498,Hypervolume Ratio,0.906665
MOTSP,kroAB100,2,100,NS-BRKGA,562386085,Hypervolume Ratio,0.881278
MOTSP,kroAB100,2,100,NS-BRKGA,287613914,Hypervolume Ratio,0.87152
MOTSP,kroAB100,2,100,NS-BRKGA,755772793,Hypervolume Ratio,0.886535
MOTSP,kroAB200,2,200,NSGA-II,305089489,Hypervolume Ratio,0.964817
MOTSP,kroAB200,2,200,NSGA-II,511812191,Hypervolume Ratio,0.956413
MOTSP,kroAB200,2,200,NSGA-II,608055156,Hypervolume Ratio,0.957153
MOTSP,kroAB200,2,200,NSGA-II,467424509,Hypervolume Ratio,0.951886
MOTSP,kroAB200,2,200,NSGA-II,944441939,Hypervolume Ratio,0.956264
MOTSP,kroAB200,2,200,NSGA-II,414977408,Hypervolume Ratio,0.95159
MOTSP,kroAB200,2,200,NSGA-II,819312498,Hypervolume Ratio,0.957556
MOTSP,kroAB200,2,200,NSGA-II,562386085,Hypervolume Ratio,0.955086
MOTSP,kroAB200,2,200,NSGA-II,287613914,Hypervolume Ratio,0.974242
