,NSGA-II,NSPSO,MOEA/D-DE,MHACO,IHS,NS-BRKGA
0.22898,21.470588235294116,8.823529411764707,10.294117647058822,17.058823529411764,5.294117647058823,18.235294117647058
0.398805,32.64705882352941,11.76470588235294,14.411764705882351,20.0,5.88235294117647,21.470588235294116
0.554396,36.470588235294116,14.117647058823529,15.588235294117647,21.764705882352942,7.941176470588235,27.941176470588236
0.837828,39.705882352941174,16.470588235294116,16.470588235294116,25.0,11.470588235294118,36.17647058823529
1.23541,47.647058823529406,19.11764705882353,16.76470588235294,28.52941176470588,15.588235294117647,38.82352941176471
1.74137,53.23529411764706,21.470588235294116,18.823529411764707,29.411764705882355,17.941176470588236,40.294117647058826
2.33821,55.88235294117647,23.235294117647058,19.705882352941178,29.411764705882355,19.705882352941178,45.294117647058826
3.20783,63.52941176470588,27.941176470588236,21.470588235294116,31.470588235294116,20.294117647058822,50.882352941176464
4.34164,64.70588235294117,30.58823529411765,23.235294117647058,32.64705882352941,21.764705882352942,54.70588235294118
5.8587,64.70588235294117,32.64705882352941,24.11764705882353,34.11764705882353,22.941176470588236,59.11764705882353
7.89244,65.29411764705883,33.52941176470588,25.882352941176475,35.294117647058826,23.235294117647058,65.29411764705883
10.5867,65.58823529411765,34.411764705882355,27.35294117647059,36.76470588235294,24.11764705882353,66.17647058823529
14.0955,66.17647058823529,36.470588235294116,29.117647058823533,37.94117647058823,24.705882352941178,66.17647058823529
18.8516,66.76470588235294,40.294117647058826,30.294117647058822,40.588235294117645,25.588235294117645,66.17647058823529
25.1951,67.05882352941175,42.94117647058823,32.05882352941177,42.05882352941177,25.882352941176475,66.17647058823529
33.6155,67.05882352941175,46.470588235294116,34.705882352941174,42.64705882352941,27.647058823529413,66.47058823529412
44.7423,67.94117647058823,50.588235294117645,39.705882352941174,43.23529411764706,30.88235294117647,67.64705882352942
59.4671,68.52941176470588,53.529411764705884,44.41176470588235,44.11764705882353,34.705882352941174,68.82352941176471
79.1663,69.11764705882352,57.05882352941176,46.76470588235294,45.0,37.35294117647059,69.41176470588235
105.273,70.29411764705881,58.529411764705884,49.705882352941174,46.1764705882353,38.529411764705884,70.29411764705881
140.11,71.17647058823529,59.411764705882355,52.352941176470594,46.76470588235294,39.411764705882355,71.76470588235294
186.18,75.29411764705883,60.29411764705882,54.41176470588235,47.647058823529406,40.588235294117645,72.6470588235294
247.313,77.94117647058823,63.23529411764706,56.1764705882353,47.94117647058824,41.17647058823529,74.11764705882354
328.476,79.70588235294119,65.0,57.35294117647059,48.23529411764706,41.47058823529412,74.70588235294117
436.248,82.6470588235294,66.76470588235294,59.11764705882353,48.529411764705884,41.76470588235294,76.17647058823529
579.299,84.70588235294117,67.3529411764706,60.0,48.529411764705884,42.35294117647059,77.94117647058823
769.245,88.23529411764706,67.64705882352942,60.29411764705882,49.11764705882353,42.35294117647059,82.6470588235294
1021.37,90.0,69.11764705882352,62.05882352941177,50.588235294117645,42.94117647058823,86.1764705882353
1356.11,92.64705882352942,71.17647058823529,63.8235294117647,51.17647058823529,45.588235294117645,92.64705882352942
1800.09,96.76470588235294,72.05882352941177,66.76470588235294,52.05882352941177,47.35294117647059,94.41176470588235
